emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,dept_name
10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12,d006,"Quality Management"
10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12,d007,Sales
10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12,d008,Research
10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12,d009,"Customer Service"
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,d001,Marketing
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,d002,Finance
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,d003,"Human Resources"
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,d004,Production
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,d005,Development
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,d006,"Quality Management"
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,d007,Sales
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,d008,Research
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,d009,"Customer Service"
10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10,d001,Marketing
10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10,d002,Finance
10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10,d003,"Human Resources"
10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10,d004,Production
10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10,d005,Development
10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10,d006,"Quality Management"
10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10,d007,Sales
10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10,d008,Research
10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10,d009,"Customer Service"
10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15,d001,Marketing
10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15,d002,Finance
10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15,d003,"Human Resources"
10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15,d004,Production
10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15,d005,Development
10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15,d006,"Quality Management"
10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15,d007,Sales
10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15,d008,Research
10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15,d009,"Customer Service"
10009,1952-04-19,Sumant,Peac,F,1985-02-18,d001,Marketing
10009,1952-04-19,Sumant,Peac,F,1985-02-18,d002,Finance
10009,1952-04-19,Sumant,Peac,F,1985-02-18,d003,"Human Resources"
10009,1952-04-19,Sumant,Peac,F,1985-02-18,d004,Production
10009,1952-04-19,Sumant,Peac,F,1985-02-18,d005,Development
10009,1952-04-19,Sumant,Peac,F,1985-02-18,d006,"Quality Management"
10009,1952-04-19,Sumant,Peac,F,1985-02-18,d007,Sales
10009,1952-04-19,Sumant,Peac,F,1985-02-18,d008,Research
10009,1952-04-19,Sumant,Peac,F,1985-02-18,d009,"Customer Service"
10010,1963-06-01,Duangkaew,Piveteau,F,1989-08-24,d001,Marketing
10010,1963-06-01,Duangkaew,Piveteau,F,1989-08-24,d002,Finance
10010,1963-06-01,Duangkaew,Piveteau,F,1989-08-24,d003,"Human Resources"
10010,1963-06-01,Duangkaew,Piveteau,F,1989-08-24,d004,Production
10010,1963-06-01,Duangkaew,Piveteau,F,1989-08-24,d005,Development
10010,1963-06-01,Duangkaew,Piveteau,F,1989-08-24,d006,"Quality Management"
10010,1963-06-01,Duangkaew,Piveteau,F,1989-08-24,d007,Sales
10010,1963-06-01,Duangkaew,Piveteau,F,1989-08-24,d008,Research
10010,1963-06-01,Duangkaew,Piveteau,F,1989-08-24,d009,"Customer Service"
